"BATCHNBR","TEST1","TEST2","TEST3","TEST4","TEST5","TEST6","TEST7","TEST8","TEST9","TEST10","BATCHQUALITY"
"B1395","9.47","8.19","1.68","9.44","1.59","9.01","8.17","8.85","8.63",".63","good"
"B1396","6.62","1.58","7.4","1.49","2.5","9.22","9.61","1.6",".25","2.39","good"
"B1397","5.46","3.41","1.16","1.97","4.49","2.7","6.86",".47","4.28","8.02","good"
"B1398","1.66","3.91","2.77","9.34","6.8","6.47",".9","9.15","6.94","6.47","good"
"B1399","1.24","7.9","4.64","2.55","2","2.83","9.71","7.58","6.55","4.09","good"
"B1400","9.14","6.58","8.06","7.22","7.6","7.71","5.99","6.87","6.57","1.97","good"
"B1401",".52",".03","1.18","7.7","3.85","4.07","2.81","4.01","6.32","1.4","good"
"B1402",".69","2.89","8.7","2.51","6.13","5.2","9.48","7.19","3.29","9.75","good"
"B1403","2.48","2.55","2.3","1.6","9.86","4.8","4.2","7.76","7.65","1.82","good"
"B1404","4","1.05","9.17","6.01","1.5","9.59","9.32","7.01",".04",".97","good"
"B1405","5.7","7.25","7.37","5.25","8.23","2.1","1.46","4.04","2.44","4.33","good"
"B1406","6.08","8.04",".06","7.86","4.8",".16","3.03","5.16","5.25","4.75","poor"
"B1407","1.71","8.91",".7","7.91","7.8","3.84","7.23","1.77",".4","6.26","poor"
"B1408",".9","5.34",".29","6.32",".41","1.6","3.11","6.57","9.64","6.45","poor"
"B1409","6.58","3.58","9.65","1.15","7.9",".59","6.6","8.2","4.68","5.8","poor"
"B1410","7.47","4.16","5.66","8.65","1.16","4.08","3.07","9.43","1.75","7.82","good"
"B1411","9.98","4.17","8.51","6.67","4.93","7.7","5.65","7.92","9.69",".98","good"
"B1412","9.75","2.06","9.34","9.05","3.6","8.23","7.94","4.98","1.1","5.02","good"
"B1413","6.32","6.8","7.84","6.57","1.06","1.67","9.71","8.53","6.36","4.45","good"
"B1414","7.07","7.92",".75","1.49","6.21","7.62","3.27","6.86","2.72","2.73","poor"
"B1415","6.38","3.41","4.85","5.4","1.96",".26","4.42","8.52","1.42","3.16","poor"
"B1416","2.86","5.55","9.3",".54","9.26","1.3","2.96","8.2","2.13","1.48","good"
"B1417","4.2","8.85","7.09","9.48",".56","6.06","1.34","2.09",".14","5.8","poor"
"B1418","2.14","4.95","1.62",".08","1.06","5.62","9.62","2.09","8.7","5.9","good"
"B1419","3.3","5.75","2.93","4.44","1.21","8.17","7.29","2.49","8.09","7.85","good"
"B1420","7.7","8.91","2.3","6.4",".41","7.2","3.31","4.12","9",".58","poor"
"B1421","9.5","1.71","9.67","4.64","4.74","8.65","7.79","2.06","6.21","8.17","good"
"B1422","2.88","9.26","4.11","9.52","2.35","4.7",".52","2.6","6.4","6.99","good"
"B1423","5.36",".12","5.8","6.97","3.55","8.48",".21","3.63","1.64","3.96","good"
"B1424",".86","4.49",".43","3.46","5.51","5.95","9.48",".11","6.19","2.96","poor"
"B1425","3.01","4.45","1.22","2.85","8.2","8.96","2.95","9.61","4.51","6.53","good"
"B1426","6.36","9.29","6.74","5.27","1.19",".17","8.95","9.26","5.04","8.9","poor"
"B1427","2.67","7.01","7.43","2.31","2.83",".02","1.38","8.58","4.82","3.19","poor"
"B1428","5.25","8.65","3.79","6.49","1.93","1.86","6.04","5.17","3.88","7.41","good"
"B1429","7.9","1.61","9.32","2.61","5.82","8.9","7.46","9.91","3.35","1.29","good"
"B1430","5.29","4.87","9.22","4.49","4.11","3.23","6.62",".3","6.77","3.7","good"
"B1431","5.39","4.36","6.32","7.83","6.38","1.92","8.43","4.05","7.41","7.81","good"
"B1432","4.36",".5",".66","6.63","1.36","6.06","6.52","7.01","1.7","4.7","poor"
"B1433","4.9","3.85","2.85","9.6","4.6",".82","3.1","4.05",".62","1.57","good"
"B1434",".14","2.68","9.07","6.88","7.46","6.47",".82","2.85","2.26","8.28","good"
"B1435","3.94","9.49","5.73","5.85","5.93","1.15","5.67","1.69",".69","4.68","good"
"B1436",".85","6.77","5.89","4.23","9.73","6.99","7.98","5.08","3.93","9.91","good"
"B1437","9.26","4.43","8","4","8.57","8.17",".64","2.58",".53","9.25","good"
"B1438","2.83","6.71","2.76","2.82","5.15","9.78","8.87","5.33",".73","3.32","good"
"B1439","8.93","2.76","2.11","4.25","4.71","5.95","9.64","1.83","9.37","4.66","good"
"B1440","8.19","3.32","8.9","8.38","3.32","7.42","3.13","7.44","7.93","7.06","good"
"B1441","2.83","3.02","9.7","8.93","2.01","6.96","1.93","5.95","5.65","4.21","good"
"B1442","6.93","6.57","4.85","1.54","8.57",".32",".29","4.15","1.86",".85","poor"
"B1443","2.73","5.21","1.78","5.22","7.69","3.57","2.86","7.27","6.24","7.55","good"
"B1444","2.04","8.78","6.59","3.79","6.86","9.98",".6",".56","6.48","9.85","good"
"B1445","3.8","1.23","1.77",".49","2.44","3.57",".96","6.33",".85","8.41","good"
"B1446","6.61","2.78","3.66","2.43","2.91","2.66","5.87","6.37","3.29","7.47","good"
"B1447","5.74","6.99",".22","4.26","9.62","2.73","1.06","4.61","5.47","8.44","poor"
"B1448","5.99","5.62","8.68","2.98","7.15","8.16","6.77",".56","9.61","9.27","good"
"B1449","5.07","1.6","6.56","7.73","8.93","5.26","4.4","8.97","9.38",".15","poor"
"B1450","4.2","2.77",".99","4.48","9.11","1.06","5.57","7.25","2.68","2.2","good"
"B1451",".47","5.22","9.84","4.04","3.6","2.56","7.89","7.11","7.14","5.01","good"
"B1452","9.46","5.4","6.91","3.94","2.44","8.71","2.16","7.94","8.85","5.73","good"
"B1453",".59","8.89","9.99","4.32","9.89","5.02","6.22","7.3","2.47","7.49","good"
"B1454","4.12","8.32","0","8.37","5.83","2.47","3.39","9.42","2.06","3.32","poor"
"B1455",".83","3.22","8.36","3.59","3.7","3.77",".19","1.88","8.93","4.07","good"
"B1456","3.21","7.44","9.05","8.9","8.79","6.36","9.52","9.83","1.1","3.34","good"
"B1457","3.06","8.63","7.51","3.51","3.28","1.19",".94","4.82","7.15",".13","good"
"B1458","3.32","3.95","2.7","2.09",".17","4.91","4.94",".37","1.08","6.67","poor"
"B1459","8.2","5.85","2.47","7.34","5.9","1.3","4.55","3.57",".04",".56","good"
"B1460","8.94","8.95","8.11","9.06","5.83",".68","7.02","9","3.05","3.08","good"
"B1461","1.26","3.61","2.81","6.3","1.76","6.53","8.78","2.85","5.75","8.12","good"
"B1462","2.6","1.53","9.22","9.89","8.27","3.76","7.54","7.05","9.74","3.35","good"
"B1463","3.17","3.27","2.68","1.22","1.37","4.58","3.35","8.88","4.12","3.43","good"
"B1464","6.35","1.63","2.78","5.59","4.81","5.66","4","3.37","7.93","1.84","good"
"B1465","9.73","6.19","7.78","2.51","4.03","3.86","8.68","6.24","6.11","3.26","good"
"B1466",".33","6.75","8.07","1.27","1.61","5.51",".03","5.13","9.54",".44","good"
"B1467","8.39","6.22","9.98","5.62","7.57","3.07",".64","2.11","6","2.17","good"
"B1468","10","1.16","7.38","2.93","7.23","4.27","4.56","7.77","5.21","3.24","good"
"B1469","1.54","3.06","9.55","7.08","7.3","3.88","6.06","3.81","4.32","7.65","good"
"B1470","6.02","7.76",".98",".15","6.16","6.37","2.63","2.79","9.97","4.38","good"
"B1471","9.15","2.17","1.38","7.31","8.67","1.41","1.75","2.65","5.76","9.29","good"
"B1472","8.08",".35","9.51","8.47","8.48","1.59","3.86","4.85","7.09",".53","good"
"B1473","8.69","1.24",".81","6.32","7.36","5.25","3.14","3.27","8.8",".22","good"
"B1474","3.36","2.08","1.8","6.99","7.76","9.75","6.03","8.39","6.89","8.74","good"
"B1475","1.19","5.9","3.11","2.83","6.57","9.37","2.16","4.24",".49","8.18","good"
"B1476","7.42","7.95","9.04","3.99","3.06","3.62","5.58","3.65",".61","3.33","good"
"B1477","3.28","7.23","3.45","1.61","1.54","8.54","8.95","4.88","4.99","8.58","good"
"B1478","6.12","7.44","4.83","2.57","4.13","2.16","3.02","6.6","4.29","1.65","good"
"B1479","9.82","5.81",".7","3.51","1.55","2.32",".93",".7","9.64","1.69","poor"
"B1480","7.6","5.95",".57",".94","1.34","9.76","5.61","1.69","6.83","6.89","poor"
"B1481","3.55","3.33","4.09","4.05","8.05","8.15","5.19","8.44","2.41","7.34","good"
"B1482","8.08","7.21","5.75","7.74","3.35","7.92","7.84","5.62","5.76","6.26","good"
"B1483","8.41","5.58","8.87","9.29","6.84","4.48","4.78",".14","2.44","8.09","good"
"B1484","5.42","6.19","2.27","6.18","6.51","4.75","3.42","4.12","5.09","3.64","good"
"B1485","2.18","9.54",".47","5.92","1.79","4.43","5.16","9.35","1.96","1.09","poor"
"B1486","3.79","3.74","6.66","7.93","4.34","4.36","4.73","6.06","3.81","8.26","good"
"B1487","7.87","2.92","7.69","2.68","9.9","2.98","4.72","8.53","4.19","7.57","good"
"B1488","1.53","5.52","4.42","2.65","1.53","1.46","9.07","3.86","5.26","9.34","good"
"B1489","1.24","8.97","5.1","1.66","5.03","5.64","1.61","5.72","8.55","9.6","good"
"B1490","4.1","7.14","4.48","1.02","7.39","6.28","2.64","8.11","5.64","7.53","good"
"B1491","3.91","3.53","5.43","6.95","2.42","8.34","6.41",".81","4.07","3.53","good"
"B1492","1.79","4.3",".77","8.55","8.03",".7","6.94","6.47","5.65","1.08","poor"
"B1493","3.07","6.59","6.6","1.57","8.95","2.32",".25","2.52","1.57","3.5","good"
"B1494","6.51","2.57","2.13","3.03","2.67","5.72","6.07","8.46","4.92","8.19","good"
"B1495","4.08","4.41","5.55","8.08","8.6","3.11",".27","8.44","6.84","6.15","good"
"B1496","8.74","1.1","8.01","2.91","6.92","2.31",".81",".73","3.7","4.32","good"
"B1497","2.89",".65","5.66","8.97","7.84","9.5","4.44","2.63","6.21","7.29","good"
"B1498","7.86","1.26","1.76","1.86",".59","8.21","2.57",".81","2.13","7.32","poor"
"B1499","2.85","2.54","8.36","3.08","6.88","4.48","8.3","5.7","6.96","7.38","good"
"B1500","7.91","8.03","1.84","8.81","2.92","5.81",".25","7.86","6.57","6.28","good"
"B1501","2.72","2.03","4.98","4.62","4.66","4.14","9.14",".29","2.96","9.91","good"
"B1502","1.17","1.27","2.04","6.94","4.35","6.43","3.4","2.67","1.52","4.34","good"
"B1503","4.23","9.11","3.73","1.36","5.21","6.17","7.09","8.4","6.75",".74","good"
"B1504","9.17","6.21","2.44","3.48","4.03","6.78","6.2","1.25","4.06","1.12","good"
"B1505","9.52","1.46","3.89","8.84",".67","3.92","7.76","5.23","4.8","9.28","poor"
"B1506",".97","8.52",".5","5.89","5.68",".56","8.21","1.11","7.74","2.53","poor"
"B1507","3.68","7.23","2.44","6.39","7.7","7.8",".4","4.39","7","7.39","good"
"B1508","8.21","5.42","7.91","8.69","6.86","4.28","7.76","3.45","3.94",".11","good"
"B1509","1.41","2.99","7.17","1.05","3.51","5.05","2.23","5.56","3.3","1.85","good"
"B1510",".46","6.36",".35","6.85","5.67","3.94","2.79","5.17","9.86",".46","poor"
"B1511","4.27","5.56","6.91","2.6","2.85","9.41","8.18","6.28",".05","1.69","good"
"B1512","2.45",".39",".66","5.69","2.76","4.17","9.81","1.04","2.21","7.4","good"
"B1513",".56","6.88","5.43","1.96","3.25","2.04","4.9","3.64","2.96","4.41","good"
"B1514","3.71","3.24","9.31","8.84","6.18","3.76","6.3","1.94","4.45","1.01","good"
"B1515","8.57","5.9",".17","3.19","1.68","8.14","4.16","5.34","5.27","3.92","poor"
"B1516","1.11","7.08","5.37","1.07","8.42","5.97","9.57","2.78","4.56","2.44","good"
"B1517","8.11","8.27","1.97","2.17","7.75",".64","6.53","3.98",".93","7.91","good"
"B1518","9.73","3.76","7.88","4.79","3.31","6.73","2.86","2.89",".44","7.53","good"
"B1519","2.16","6.65","1.83","1.22","6.62","9.93","8.44","9.95","2.89","1.42","good"
"B1520",".61","6.8","4.08","5.84","8.18","7.63","7.78","4.56","8.74","6.69","good"
"B1521","3.45","1.11",".31","7.56","3.09",".31",".71","1.62","6.11","6.35","poor"
"B1522","5.29","6.8","4.87","4.24","9.7",".38","4.49","6.08","6.62",".79","poor"
"B1523",".06","9.88","2.1","9.1","7.55","9.5","7.91","6.37","5.92","4.33","good"
"B1524","3.46","9.78","5.77","1.66","2.83","1.71",".15",".41","3.36","1.57","good"
"B1525",".41","3.26","9.67","1.73","1.47","5.68","5.1","2.81","7.34","5.74","good"
"B1526","2.31","4.78","1.75","1.16","6.21","9.23","6.38","5.48","3.68",".48","good"
"B1527","2.11","8.15","7.91","1.35","1.56","8.57","1.18","5.04","4.11","3.9","good"
"B1528",".83",".32","3.97","9.43","9.73","7.34","2.78","2.11","3.74","7.22","good"
"B1529","4.01","5.87",".83","8.98","1.34","8.9","2.62","9.45","6.46","7.25","good"
"B1530","1.02","7.21","3.68","9.16",".1",".51","9.59","1.55","1.36",".92","poor"
"B1531","1.37","3.52","6.42","2.19","8.76","5.68","4.74","5.16","7.57","9.78","good"
"B1532","8.14","2.95","9.63",".16","2.78","1.58","5.71","8.1","2.07","1.73","good"
"B1533","4.26","4.38","8.52","5.28","2.77","1.33","5.22",".84","8.87","3","good"
"B1534","7.62","2.02","1.8","2.15","7.93","9.16","2.38","1.78","5.96","7.73","good"
"B1535",".18","4.06","4.7","5.27","6.53","5.05","4.06","1.68","3.79","4.92","good"
"B1536","3.81","7.03","6.95","1.58","8.01","9.7","4.31","5.18",".28","8.02","good"
"B1537","9.75","8.5","3.56","5.22","8.99","3.77","6.17","8.84","3.4","8","good"
"B1538","5.96","6.88","9.08","2.68","8.39","4.25","6.66","3.71","3.86","9.91","good"
"B1539","8.56","8.89","3.48","8.91","2.4","3.42",".45","5.22",".56","1.38","good"
"B1540","4.33",".46",".53","3.27",".88","6.27",".41","2.4","3.94","4.53","poor"
"B1541",".73","2.31",".39","2.77","3.01","6.5","5.05","5.66","7.01","1.67","poor"
"B1542","4.45",".74","2.57","1.71",".45","5.83",".4","8.84","4.56","1.26","poor"
"B1543","5.37","5.61","6.38","4.52","6.42","7.08","4.23","7.29","9.67","2.17","good"
"B1544",".65","1.31","1.87","8.98","1.8",".17","9.67","3.39","3.11","6.21","poor"
"B1545","9.15","1.12","2.58","2.64",".8","2.67","2.36","4.21","3.69",".5","poor"
"B1546","8.56","2.59","9.5","6.34","3.44","1.38","1.07","7.02","5.64","4.57","good"
"B1547","5.99","2.57","4.64","1.26","1.93",".26","9.42","2.23","3.58","5.93","poor"
"B1548","8.45","6.13","5.73","3.28","5.33","1.51","6.69","6.23","4.06",".97","good"
"B1549","7.31",".42","7.57","1.22","3.15","1.72","3.16","7.73","4.86",".73","good"
"B1550",".97",".53","5.15","9.33","5.43","3.29","5.85","2.1","4.43","6.5","good"
"B1551","4.06","7.02","1.6","2.51","7.11","2.52","2.83","7.75","6.63","4.64","good"
"B1552","1.56",".53","8.97","9.08","8.65",".44","1.41","9.68","5.68","8.64","poor"
"B1553","9.65","7.98","9.55","2","5.7","8.36","2.24","8.4",".23","8.94","good"
"B1554",".42","6.25","6.92","6.9","7.61","3.5","7.13","7.54","7.23","8.87","good"
"B1555","7.97","5.7","4.88","9.81","1.11","1.87","9.2","1.96","8.4","9.97","good"
"B1556","6.62","8.93","7.71","5.31","1.36","9.43","5.57","4.28",".07","2.23","good"
"B1557","3.08","7.51","7.27","7.01","1.09",".52","1.55","5.56","3.12","5.69","poor"
"B1558","6.94","8.11","1.1",".4",".32",".96","1.5","8.33","8.93","1.43","poor"
"B1559","7.38","7.8","2.68","7.19","3.48","1.47","8.02","3.91","3.18","5.04","good"
"B1560","8.99",".81","3.89","5.42","2.34",".87","2.81","3.96","3.35","7.65","good"
"B1561","3.24","6.34","2.92","9.63","4.95","7.4","2.73","8.49","1.28","6.17","good"
"B1562","2.8",".12","1.91","2.03","2.66","6.46",".49",".21","9.59","1.3","good"
"B1563","2.46","9.63","3.9","2.18","4.99","9.07","8.22","6.73","2.02","7.03","good"
"B1564","4.55","4.05","3.3","2.74","8.28","2.95","6.06","5.27","4.35",".63","good"
"B1565","7.83","1.72","7","3.29","5.52","5.5","2","8.63","5.12","5.09","good"
"B1566","8.54","5.1","5.32","5.18",".56","2.01",".26","8.24","4.58","6.35","poor"
"B1567","4.84","2.54","9.07","7.39","5.58","6.11","9.96","4.72","7.25",".19","good"
"B1568","7.58","2.9","9.78","7.6","2.45","8.07","6.15","9.58","8.1","4.74","poor"
"B1569","9.78","4.37","6.34",".91","6.93","8.46","1.49","4.76","7.16","2.27","good"
"B1570","4.71","5.37",".46","7.98","6.4","1.73","1.49","2.48","3.44","6.75","poor"
"B1571","4.31","1.29","3.11","5.75","6.79","5.43","7.7","8.84",".28","8.5","good"
"B1572","2.72","3.36","7.89","3.17",".03","6.15","1.96","1.87","3.99",".03","poor"
"B1573","9.96","4.29","5.48","8.86","2.22","1.53","8.53","7.27","2.89",".24","good"
"B1574","2.04","3.61","7.39","9.47","3.26","8.1","9.45","1.58","7.97","7","good"
"B1575","8.74","2.79","5.05","6.68","4.54","4.84","3.21","4.29","2.25","5.34","good"
"B1576","3.11","7.44",".14","9.66","9.04","2.8","9.04",".4","7.38",".94","poor"
"B1577","2.38","6.59","5.24","2.73","1.08","3.51","2.82","1.21","5.36","6.99","good"
"B1578","1.86",".78","5.29","2.95","3.07","3.54",".61","8.67","9.29",".22","good"
"B1579","4.96","3.68","1.13","5.98","6.62","3.13","6.72","6.63","6.83","1.42","good"
"B1580","3.68","7.43","7.12","3.65","4.73","7.08","4.48","4.67","4.24","2.76","good"
"B1581","5.42","5.92","4.75",".19","6.97","6.11","6.04","6.83","8.77","1.86","good"
"B1582","8.08","5.08","6.6","9.39","2.71","9","1.33","4.71","8.7","3.54","good"
"B1583","6.55","5.86","4.59","8.43","1.55","4.45","2.68","6.12","8.31","9.15","good"
"B1584","8.48",".39","4.22","3.77","4.11","6.5","3.89","9.03","5.15","7.59","good"
"B1585",".75","5.96","5.41",".2","1.41","2.26","2.65","6.66","9.66","2.2","good"
"B1586","9.61","4.36","4.33","5.1","8.22","7.28","1.26","8.96","1.25","9.92","good"
"B1587","1.22","8.91","6.68","6.82","3.9","3.69","9.69","6.83","5.73","4.35","good"
"B1588","6.24","9.34","7.6","7.34","8.19","8.82","3.45","5.18","2.25","4.15","good"
"B1589","3.41","6.6","1.42","1.1","9.39","6.34","8.45","1.25",".42","2.26","good"
"B1590","4.37","6.11","9.62","5.53","8.86","5.13","9.46",".14","5.44","6.51","good"
"B1591",".36","6.94","5.64","2.56","3.08","5.4",".93","4.34","6.2","3.75","good"
"B1592","6.02","9.26","7.48","2.31","4.89","8.84","9.09","8.37","2.43","9.63","good"
"B1593","2.44","3.43","9.2",".34","1.88","1.5","7.79","6.73","1.79","5.95","good"
"B1594","7.43","9.2",".02","7.17","9.06","9.52","7.56","6.29","5.99",".74","poor"
"B1595",".95","6.28","1.22","1.66","4.57","9.13",".48","3.24","9.24","4.2","good"
"B1596","6.57","9.13","4.25","3.09","3.87","7.73","3.11","4.71","6.84","5.82","good"
"B1597","9.91","8.58","1.77","9.34","3.38",".42","2.06",".5","7.56","4","poor"
"B1598","4.28","2.68","5.56","2.87","2.19","1.62","2.68","3.57","1.07","1.73","good"
"B1599","3.78","6.45","7.78","1.82","4.5","1.55","5.82","9.89","2","9.61","good"
"B1600","7.93",".71","1.03","8.22","2.02",".89","6.74","7.47","5.69","1.11","good"
"B2101",".57","6.33","6.73","8.44","2.38","1.07","2.15",".52","9.53","2.52","good"
"B2102","1.89","5.4","3.52","6.62","3.56",".86","6.49","4.12","8.03",".76","good"
"B2103","6.46",".53","1.58","1.02","5.67","6.69","2.04","5.04","5.56","6.71","good"
"B2104","2.83","5.11","4.43","8.13","9.71","4.21","8.33",".76","4.58","7.43","good"
"B2105","6.15","2.89","1.36","5.53","2.14","7.94","8.31","1.7","8.84","8.56","good"
"B2106","3.51",".47","3.84","8.9","4.01",".8","2.26","1.71","2.4","3.05","good"
"B2107","2.11","3.64","2.69","7.67","6.89",".2","7.79","6.7",".92","6.33","good"
"B2108","4.2","7.93","9.9","1.14","8.28","9.8","9.84","5.39",".51","6.84","good"
"B2109","4.27","5.87","2.21","2.07","1.56","7.81","9.75","6.73","2.22","9.32","good"
"B2110","3.84","6.78","6.14","7.46","7.71","5.04","3.77","5.73","4.36","8.88","good"
"B2111","9.44","4.89","6.77","7.31","9.42","4.15","8.22","9.65","9.12","8.39","good"
"B2112","3.46",".48","4.46",".31","8.32","4.29","7.53","4.5","6.33","8.93","good"
"B2113",".39","1.2","8.68","9.73","8.2","2.72","5.19","3.61","3.44","3.2","good"
"B2114",".49","9.95","1.44","4.39","5.76","3.02","5.71","3.4","8.49","6.3","good"
"B2115","2.12","4.28","4.8","2.78","1.42","9.62","4.32","5.29","3.08","1.94","good"
"B2116","7.73","9.66","2.38","9.27","3.23","1.46","9.58","5.7","1.69",".47","good"
"B2117","1.78","1.92","7.37","3.12",".75","7.86","5.45","8.68","4.02","5.95","poor"
"B2118","7.58","2.14","4.9","8.3","8.28","1.82","8.75","3.41",".26",".51","good"
"B2119","9.13","9.27","7.8",".41","4.29","6.38","9.25","7.24","9.71","6","good"
"B2120","8.79","4.5","5.53","4.9","9.31","6.53","9.37","4.78","4.3","2.88","good"
"B2121","1.39","7.89","9.03","2.7","1.86","6.09","1.9","1.99","6.4","4.34","good"
"B2122","3.2","7.88","6.38","9.73","2.09","4.66","1.97","5.89","2.42","6.25","good"
"B2123","7.92",".4","3.84",".81","9.84","1.08","9.19",".43","3.35","3.15","good"
"B2124","4.47","7.04","4.09","7.59","8.19","8.72","7.99","9.39","7.31","7.59","good"
"B2125","1.78","8.82",".44","4.63",".93","9.87",".26","1.72","1.18","5.51","poor"
"B2126",".15","2.82","6.57",".4","8.56","6.39","8.44","8.02","3.34","7.43","good"
"B2127","2.27",".07","2.61","7.46","6.73","7.1","3.75","7.2","1.71","8.37","good"
"B2128","5.65","5.35","7.81","1.8","1.32","6.13","7.4","8.83",".58","3.71","good"
"B2129","8.09","1.79","7.04","3.54","3.19","9.81","9.51","4.77","3.6","1.57","good"
"B2130","1.56","1.8","8.62",".76","8.14","6.09","1.69","8.45","1.57","1.45","good"
"B2131","1.36","3.96","1.25","9.31","4.61","9.06","9.89","8.91","3.2","9.98","good"
"B2132","3.67","1.51","7.82","3.9","4.06","7.72","7.07","1.29",".25","7.73","good"
"B2133","6.41","5.68","5.14","2.3","5.21","2.38","3.43","6.02","4.87","5.6","good"
"B2134",".98","9.39",".15","4.37","3.53","2.97","8.71","8.82","5.25","3.03","poor"
"B2135","8.06","8.14","7.13","1.18","3.98","7.6",".62","9.81","9.27","9.24","good"
"B2136","2.4","2.66","9.4","2.46","1.88","6.32","7.98","2.63","2.95","9.24","good"
"B2137","1.46","2.71","8.04","8.54","2.52",".28",".93","1.91","7.77","4.38","poor"
"B2138","5.32",".06","9.14",".03","5.95","7.66","8.92","2.27","4.72","3.14","good"
"B2139","8.15","5.94","9.86","2.25","8.17","7.14","8.26","5.02","2.66","6.03","good"
"B2140","4.99","4.86","1.66",".35","3.07","4.02","8.67","4.85","7.41","2.16","good"
"B2141","4.17","7.08","0","4.67","5.1","6.7","3.26","4.49","5.77","3.05","good"
"B2142","8.61","8.15","2.85","5.76","9.59","9.58",".89","6.64",".79","3.45","good"
"B2143","6.31","8.53","7.75","2.93",".52","8.31","1.46","4.01","7.26","4.22","poor"
